ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Gender,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Reached.on.Time_Y.N
1,4,-0.7007550966049262,177,3,0,1.8899833648589817,1233,False,False,False,True,False,True,False,False,False,True,False,1
2,4,1.4215777095146467,216,2,1,2.8156355730238762,3088,False,False,False,False,True,True,False,False,False,True,False,1
3,2,-0.7007550966049262,183,4,1,2.1368239537029536,3374,True,False,False,False,False,True,False,False,False,True,False,1
4,3,0.006689172101598107,176,4,1,-0.20816164031477966,1177,False,True,False,False,False,True,False,False,False,False,True,1
5,2,-0.7007550966049262,184,3,0,2.0134036592809674,2484,False,False,True,False,False,True,False,False,False,False,True,1
6,3,-1.4081993653114504,162,3,0,-0.08474134589279368,1417,False,False,False,False,True,True,False,False,False,False,True,1
7,3,0.7141334408081224,250,3,0,-0.6401326707917305,2371,False,False,False,True,False,True,False,False,False,True,False,1
8,4,-1.4081993653114504,233,2,0,2.1368239537029536,2804,False,False,False,False,True,True,False,False,False,True,False,1
9,3,0.7141334408081224,150,3,0,-0.14645149310378666,1861,True,False,False,False,False,True,False,False,False,True,False,1
10,3,-0.7007550966049262,164,3,0,0.964331156694087,1187,False,True,False,False,False,True,False,False,False,False,True,1
11,3,0.7141334408081224,189,2,1,-0.08474134589279368,2888,False,False,True,False,False,True,False,False,False,False,True,1
12,4,1.4215777095146467,232,3,0,1.149461598327066,3253,False,False,False,False,True,True,False,False,False,False,True,1
13,3,1.4215777095146467,198,3,0,-0.7635529652137165,3667,False,False,False,True,False,True,False,False,False,False,True,1
14,4,0.7141334408081224,275,3,1,0.964331156694087,2602,False,False,False,False,True,True,False,False,True,False,False,1
15,4,0.006689172101598107,152,3,1,1.8282732176479888,1009,True,False,False,False,False,True,False,False,False,True,False,1
16,4,0.006689172101598107,227,3,0,1.9516935120699745,2707,False,True,False,False,False,True,False,False,False,True,False,1
17,3,0.7141334408081224,143,2,0,-0.4550022291587516,1194,False,False,True,False,False,True,False,False,False,False,True,1
18,5,1.4215777095146467,227,3,1,1.3963021871710377,3952,False,False,False,False,True,False,False,True,False,False,True,1
19,5,1.4215777095146467,239,3,1,0.2855195373731642,2495,False,False,False,True,False,False,False,True,True,False,False,1
20,4,1.4215777095146467,145,3,1,1.9516935120699745,1059,False,False,False,False,True,False,False,True,False,False,True,1
21,3,0.006689172101598107,161,2,0,1.5197224815930237,1521,True,False,False,False,False,False,False,True,False,False,True,1
22,3,-1.4081993653114504,232,4,0,2.3219543953359327,2899,False,True,False,False,False,False,False,True,False,False,True,1
23,2,1.4215777095146467,156,2,1,-0.7018428180027235,1750,False,False,True,False,False,False,False,True,False,True,False,1
24,4,0.006689172101598107,211,3,1,-0.08474134589279368,3922,False,False,False,False,True,False,False,True,True,False,False,1
25,4,1.4215777095146467,251,2,0,0.9026210094830941,3561,False,False,False,True,False,False,False,True,False,False,True,1
26,3,-1.4081993653114504,225,4,1,0.964331156694087,3496,False,False,False,False,True,False,False,True,False,True,False,1
27,4,-1.4081993653114504,172,3,0,0.6557804206391221,1066,True,False,False,False,False,False,False,True,True,False,False,1
